2020-09-30 15:47:57.803 .\Logs\2020-09-30 15-47-57.txt is created.
2020-09-30 15:48:03.766 [INFO]    Mark: 1 sent!
2020-09-30 15:48:04.768 [INFO]    Mark: 5 sent!
2020-09-30 15:48:05.770 [INFO]    Mark: 5 sent!
2020-09-30 15:48:06.770 [INFO]    Mark: 5 sent!
2020-09-30 15:48:07.770 [INFO]    Mark: 5 sent!
2020-09-30 15:48:08.770 [INFO]    Mark: 5 sent!
2020-09-30 15:48:09.771 [INFO]    Mark: 5 sent!
2020-09-30 15:48:10.771 [INFO]    Mark: 5 sent!
2020-09-30 15:48:11.771 [INFO]    Mark: 5 sent!
2020-09-30 15:48:12.772 [INFO]    Mark: 5 sent!
2020-09-30 15:48:13.772 [INFO]    Mark: 5 sent!
2020-09-30 15:48:14.789 [INFO]    Mark: 5 sent!
2020-09-30 15:48:15.800 [INFO]    Mark: 5 sent!
2020-09-30 15:48:16.800 [INFO]    Mark: 5 sent!
2020-09-30 15:48:17.800 [INFO]    Mark: 5 sent!
2020-09-30 15:48:18.801 [INFO]    Mark: 5 sent!
2020-09-30 15:48:19.801 [INFO]    Mark: 5 sent!
2020-09-30 15:48:20.801 [INFO]    Mark: 5 sent!
2020-09-30 15:48:21.802 [INFO]    Mark: 5 sent!
