2020-09-30 16:38:27.640 .\Logs\hello.txt is created.
2020-09-30 16:38:27.657 [INFO]    Mark: 1 sent!
2020-09-30 16:38:27.673 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.688 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.704 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.719 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.735 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.750 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.766 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.781 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.796 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.811 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.827 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.842 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.857 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.875 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.890 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.906 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.921 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.936 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.952 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.967 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.983 [INFO]    Mark: 5 sent!
2020-09-30 16:38:27.998 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.013 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.028 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.043 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.058 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.074 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.089 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.105 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.120 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.135 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.151 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.166 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.182 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.197 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.212 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.228 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.243 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.258 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.274 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.289 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.305 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.320 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.335 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.351 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.366 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.381 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.396 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.411 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.426 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.442 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.457 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.472 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.488 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.503 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.519 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.534 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.549 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.565 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.580 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.595 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.611 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.626 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.641 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.657 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.672 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.688 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.703 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.719 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.734 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.749 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.764 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.779 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.794 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.810 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.825 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.840 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.855 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.871 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.886 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.901 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.917 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.932 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.948 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.963 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.979 [INFO]    Mark: 5 sent!
2020-09-30 16:38:28.994 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.010 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.025 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.040 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.056 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.071 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.087 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.102 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.117 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.133 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.147 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.163 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.178 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.193 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.208 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.224 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.239 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.255 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.270 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.285 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.301 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.316 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.331 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.347 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.362 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.378 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.393 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.408 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.424 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.439 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.454 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.469 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.485 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.500 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.515 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.530 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.545 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.561 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.576 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.591 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.607 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.622 [INFO]    Mark: 5 sent!
2020-09-30 16:38:29.637 [INFO]    Mark: 5 sent!
